PUMFID,LFW_400,LFW_410,LFW_420A,LFW_420B,LFW_420C,LFW_440,AFT_P010,AFT_020,AFT_P040,AFT_050,AFT_070,AFT_080,AFT_090,BEF_P140,BEF_P150,BEF_160,DEM_P010,DEM_P030,DEM_P140,GRADAGEP,REG_INST,CERTLEVP,PGMCIPAP,COOP,PREVLEVP,HLOSGRDP,HLOSINTP,STULOANS,OWESLGD,OWEGVIN,SRCFUND,RESP,SCHOLAR,DBTOTGRD,DBTOTINT,DBTALGRD,DBTALINT,LFSTAT,LFCINDP,LFCOCCP,LFWFTPT1,JOBQLEVP,JOBQLGRD,JOBQLINT,JOBINCP,PERSINCP,REG_RESP,VISBMINP,CTZSHIPP,LHOMEP,LFIRSTP,FATHEDP,FATEDGRD,FATEDINT,MOTHEDP,MOTEDGRD,MOTEDINT,DDIS_FL,DTYPERP,DCLASSP,WTPF
28798,1,2,1,3,1,2,1,1,1,2,1,6,1,3,1,3,2,0,3,1,2,2,9,2,1,2,3,1,0,1,3,6,6,6,6,0,1,1,7,4,1,3,3,2,6,6,2,2,1,2,2,6,3,2,6,3,3,2,6,0,33.437
28799,6,6,6,6,6,6,4,2,1,1,2,1,1,2,1,5,2,1,1,1,1,1,8,2,6,1,1,1,0,3,3,6,6,6,6,0,3,3,96,96,6,6,6,6,96,4,1,2,1,1,1,2,1,1,2,1,1,2,6,0,10.82
28801,6,6,6,6,6,6,3,1,1,1,2,2,1,3,2,6,1,0,3,1,4,3,2,2,2,3,3,1,4,3,3,6,3,6,6,4,3,2,96,96,6,6,6,6,96,3,1,2,1,1,1,3,1,1,5,1,1,1,1,1,10.1062
28802,1,2,2,4,4,1,6,6,6,6,6,6,6,3,1,1,2,0,1,1,3,2,8,1,6,2,3,1,3,0,3,3,4,6,6,3,0,1,7,3,2,2,2,1,3,4,3,2,1,1,1,5,2,1,2,1,1,1,2,1,54.3093
28803,1,2,2,2,1,1,6,6,6,6,6,6,6,3,1,5,2,0,1,1,4,2,8,1,6,2,3,1,1,0,3,6,2,6,6,1,0,1,1,3,1,2,2,1,9,10,4,1,1,1,1,4,1,1,5,2,1,2,6,0,10.1392
28804,6,6,6,6,6,6,1,2,1,1,2,2,1,3,1,2,1,0,9,1,2,1,7,2,6,1,2,1,2,3,2,6,6,0,2,2,3,3,96,96,6,6,6,6,96,1,2,2,3,3,3,5,3,2,5,3,2,1,2,1,18.035
28805,1,1,2,9,2,1,6,6,6,6,6,6,6,3,1,6,1,2,3,3,2,2,1,2,6,2,2,1,2,1,3,6,6,6,6,2,1,1,6,7,1,2,2,2,99,99,2,1,2,3,3,5,3,3,5,3,3,2,6,0,35.7752
28810,1,2,1,2,2,2,1,2,1,1,1,6,1,1,1,6,1,0,3,2,2,3,5,1,2,3,3,1,2,1,3,1,6,4,4,4,4,1,6,1,1,2,1,1,7,7,2,2,1,2,2,4,1,1,4,1,1,2,6,0,22.1149
28811,6,6,6,6,6,6,3,2,1,1,2,1,1,3,1,2,2,0,3,1,2,1,10,2,6,1,2,1,1,0,3,6,6,6,6,1,0,2,96,96,6,6,6,6,96,1,2,2,1,2,2,5,3,3,6,3,3,2,6,0,18.8757
28812,6,6,6,6,6,6,2,1,1,2,2,2,3,1,1,6,1,1,1,2,4,2,2,2,6,2,2,1,4,9,3,6,6,6,6,4,9,3,96,96,6,6,6,6,96,99,4,2,1,1,1,6,3,3,6,3,3,1,2,2,12.801
